Education,Marital_Status,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,age,Accepted_Cmp,children,duration
College Graduate,Single,58138,635,88,546,172,88,88,3,8,10,4,7,0,66,Yes,0,11.213780515628565
College Graduate,Single,46344,11,1,6,2,1,6,2,1,1,2,5,0,69,No,2,9.707848505589778
College Graduate,Together,71613,426,49,127,111,21,42,1,8,2,10,4,0,58,No,0,10.252794889345198
College Graduate,Together,26646,11,4,20,10,3,5,2,2,0,4,6,0,39,No,1,9.779032626055212
PhD,Married,58293,173,43,118,46,27,15,5,5,3,6,5,0,42,No,1,9.83926534337212
Master,Together,62513,520,42,98,0,42,14,2,6,4,10,6,0,56,No,1,10.200775724389688
College Graduate,Divorced,55635,235,65,164,50,49,27,4,7,3,7,6,0,52,No,1,11.022016883413187
PhD,Married,33454,76,10,56,3,1,23,2,4,0,4,8,0,38,No,1,10.540269221994068
PhD,Together,30351,14,0,24,3,3,2,1,3,0,2,9,0,49,Yes,1,10.460871549167237
PhD,Together,5648,28,0,6,1,1,13,1,1,0,0,20,0,73,Yes,2,9.69427332877025
High School,Married,7500,6,16,11,11,1,16,1,2,0,3,8,0,47,No,0,11.022016883413187
College Graduate,Divorced,63033,194,61,480,225,112,30,1,3,4,8,2,0,64,No,0,10.017225644535706
Master,Divorced,59354,233,2,53,3,5,14,3,6,1,5,6,0,71,No,2,10.017225644535706
College Graduate,Married,17323,3,14,17,6,1,5,1,1,0,3,8,0,36,No,0,11.11521788729181
PhD,Single,82800,1006,22,115,59,68,45,1,7,6,12,3,0,77,Yes,0,10.991900524754733
College Graduate,Married,41850,53,5,19,2,13,4,3,3,0,3,8,0,43,No,2,10.909765001140771
College Graduate,Together,37760,84,5,38,150,12,28,2,4,1,6,7,0,77,No,0,11.224731918777092
Master,Married,76995,1012,80,498,0,16,176,2,11,4,9,5,0,74,Yes,1,10.652521104266485
Technical School,Single,33812,4,17,19,30,24,39,2,2,1,3,6,0,38,No,1,11.04950946840064
College Graduate,Married,37040,86,2,73,69,38,48,1,4,2,5,8,0,41,No,0,11.28770248688113
College Graduate,Married,2447,1,1,1725,1,1,1,15,0,28,0,1,0,44,No,1,10.874172940908053
PhD,Married,58607,867,0,86,0,0,19,3,2,3,9,8,0,74,Yes,1,10.912502851927902
PhD,Married,65324,384,0,102,21,32,5,3,6,2,9,4,0,69,No,1,9.861168149669176
College Graduate,Together,40689,270,3,27,39,6,99,7,7,1,5,8,0,72,No,1,10.679899612137806
College Graduate,Single,18589,6,4,25,15,12,13,2,2,1,3,7,0,54,No,0,10.885124344056582
College Graduate,Married,53359,173,4,30,3,6,41,4,5,1,4,7,0,47,No,2,10.488250057038558
College Graduate,Married,38360,36,2,42,20,21,10,2,2,1,4,3,0,34,No,1,10.47729865389003
PhD,Married,84618,684,100,801,21,66,0,1,6,9,10,2,0,58,Yes,0,9.998060689025781
Master,Divorced,10979,8,4,10,2,2,4,2,3,0,3,5,0,34,No,0,9.502623773671003
